A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
A01	STOMATOLOOGILISED PREPARAADID	STOMATOLOGICAL PREPARATIONS
A01A	STOMATOLOOGILISED PREPARAADID	STOMATOLOGICAL PREPARATIONS
A01AA	Ained kaariese profülaktikaks	Caries prophylactic agents
A01AA01	naatriumfluoriid	Sodium fluoride
A01AB	Infektsioonivastased ja antiseptilised ained suuõõne lokaalseks raviks	Antiinfectives and antiseptics for local oral treatment
A01AB02	vesinikperoksiidilahus	Hydrogen peroxide solution
A01AB03	kloorheksidiin	Chlorhexidine
A01AB04	amfoteritsiin	Amphotericin
A01AB05	polünoksüliin	Polynoxylin
A01AB06	domifeenbromiid	Domiphen bromide
A01AB08	neomütsiin	Neomycin
A01AB09	mikonasool	Miconazole
A01AB10	natamütsiin	Natamycin
A01AB12	heksetidiin	Hexetidine
A01AB13	tetratsükliin	Tetracycline
A01AB14	bensoksooniumkloriid	Benzoxonium chloride
A01AB15	tibesooniumjodiid	Tibezonium iodide
A01AB16	mepartritsiin	Mepartricin
A01AB17	metronidasool	Metronidazole 
A01AB18	klotrimasool	Clotrimazole
A01AB21	kloortetratsükliin	Chlortetracycline
A01AB80	dekvaliin	Dequalinium
A01AB81	neomütsiin+bensokaiin	Neomycin+Benzocaine
A01AC	Kortikosteroidid suuõõne lokaalseks raviks	Corticosteroids for local oral treatment
A01AC01	triamtsinoloon	Triamcinolone
A01AC02	deksametasoon	Dexamethasone
A01AC03	hüdrokortisoon	Hydrocortisone
A01AC80	deksametasoon	Dexamethasone
A01AC81	deksametasoon+tümool	Dexamethasone+Thymol
A01AD	Teised ained suuõõne lokaalseks raviks	Other agents for local oral treatment
A01AD02	bensüdamiin	Benzydamine
A01AD05	atsetüülsalitsüülhape	Acetylsalicylic acid 
A01AD06	adrenaloon	Adrenalone
A01AD80	lidokaiin+tsetüülpüridiinkloriid	Lidocaine+Cetylpyridinium chloride
A01AD81	lidokaiin+tsetrimiid	Lidocaine+Cetrimide
A01AD82	koliinsalitsülaat	Choline salicylate
A01AD83	lidokaiin+kummeliekstrakt	Lidocaine+Chamomille extract
A01AD84	trikresool	Tricresol
A01AD85	koliinsalitsülaat+tsetalkooniumkloriid	Choline salicylate+Cetalconium chloride
A01AD86	lidokaiin+eugenool	Lidocaine+Eugenol
A01AD87	aedsalvei leht+aed-liivatee ürt+piparmündileht	Sage leaf+Thyme herb+Peppermint leaf
A01AD88	alumiiniumkloriid	Aluminium chloride
A01AD89	vasika vere hemoderivaat, deproteiniseeritud+lauromakrogool 400	Hemoderivate of calf blood, deproteinized+Lauromacrogol 400
A01AD92	parakloorfenool	Para-chlorphenol
A02	MAOMAHLA HAPPESUSEGA SEOTUD HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR ACID RELATED DISORDERS
A02A	ANTATSIIDID	ANTACIDS
A02AA	Magneesiumiühendid	Magnesium compounds
A02AA01	magneesiumkarbonaat	Magnesium carbonate
A02AA02	magneesiumoksiid	Magnesium oxide
A02AA04	magneesiumhüdroksiid	Magnesium hydroxide
A02AB	Alumiiniumiühendid	Aluminium compounds
A02AB01	alumiiniumhüdroksiid	Aluminium hydroxide
A02AB02	algeldraat	Algeldrate
A02AB03	alumiiniumfosfaat	Aluminium phosphate
A02AB04	alumiiniumnaatriumdihüdroksükarbonaat	Dihydroxyaluminium sodium carbonate
A02AB05	alumiiniumatsetoatsetaat	Aluminium acetoacetate
A02AB07	alumiiniumglütsinaat	Aluminium glycinate
A02AC	Kaltsiumiühendid	Calcium compounds
A02AC01	kaltsiumkarbonaat	Calcium carbonate
A02AD	Alumiiniumi-, kaltsiumi- ja magneesiumiühendite kombinatsioonid ja kompleksühendid	Combinations and complexes of aluminium, calcium and magnesium compounds
A02AD00	PUUDU_EESTI	PUUDU_INGLISE
A02AD02	algeldraat+magneesiumhüdroksiid	Algeldrate+Magnesium hydroxide
A02AD03	almagaat	Almagate
A02AD04	hüdrotaltsiit	Hydrotalcite
A02AD05	algeldraat+magneesiumtrisilikaat	Algeldrate+Magnesium trisilicate
A02AD80	alumiiniumoksiid+algeldraat+magneesiumhüdroksiid+magneesiumkarbonaat	Aluminium oxide, hydrated+Algeldrate+Magnesium hydroxide+Magnesium carbonate
A02AD81	alumiiniumhüdroksiid+magneesiumhüdroksiid	Aluminium hydroxide+Magnesium hydroxide
A02AD82	alumiiniumaminoatsetaat+magneesiumoksiid	Aluminium aminoacetate+Magnesium oxide
