QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QA01	STOMATOLOOGILISED PREPARAADID	STOMATOLOGICAL PREPARATIONS
QA01A	STOMATOLOOGILISED PREPARAADID	STOMATOLOGICAL PREPARATIONS
QA02	MAOMAHLA HAPPESUSEGA SEOTUD HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR ACID RELATED DISORDERS
QA02A	ANTATSIIDID	ANTACIDS
QA02AA	Magneesiumiühendid	Magnesium compounds
QA02AB	Alumiiniumiühendid	Aluminium compounds
QA02AC	Kaltsiumiühendid	Calcium compounds
QA02AD	Alumiiniumi-, kaltsiumi- ja magneesiumiühendite kombinatsioonid ja kompleksühendid	Combinations and complexes of aluminium, calcium and magnesium compounds
QA02B	PEPTILISE HAAVANDI JA GASTROÖSOFAGEAALSE REFLUKSHAIGUSE RAVIKS KASUTATAVAD AINED	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
QA02BC	Prootonpumba inhibiitorid	Proton pump inhibitors
QA02BC01	omeprasool	Omeprazole
QA03	GASTROINTESTINAALTRAKTI FUNKTSIONAALSETE HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
QA03A	GASTROINTESTINAALTRAKTI FUNKTSIONAALSETE HÄIRETE RAVIKS KASUTATAVAD AINED	DRUGS FOR FUNCTIONAL FASTROINTESTINAL DISORDERS
QA03AE	Serotoniiniretseptori antagonistid	Serotonin receptor antagonists
QA03AX	Teised gastrointestinaaltrakti funktsionaalsete häirete raviks kasutatavad ained	Other drugs for functional gastrointestinal disorders
QA03AX80	dimetikoon	Dimeticone
QA03AX81	simetikoon	Simeticone
QA03D	SPASMOLÜÜTIKUMIDE KOMBINATSIOONID ANALGEETIKUMIDEGA	ANTISPASMODICS IN COMBINATION WITH ANALGESICS
QA03DB	Belladonna alkaloidide ja derivaatide kombinatsioonid analgeetikumidega	Belladonna and derivatives in combination with analgesics
QA03DB80	butüülskopolamiin+naatriummetamisool	Butylscopolamine+Metamizole sodium
QA03F	SOOLE MOTOORIKAT KIIRENDAVAD AINED	PROPULSIVES
QA03FA	Soole motoorikat kiirendavad ained	Propulsives
QA03FA02	tsisapriid	Cisapride
QA04	OKSENDAMIS- JA IIVELDUSVASTASED AINED	ANTIEMETICS AND ANTINAUSEANTS
QA04A	OKSENDAMIS- JA IIVELDUSVASTASED AINED	ANTIEMETICS AND ANTINAUSEANTS
QA04AD	Teised oksendamisvastased ained	Other antiemetics
QA04AD90	maropitant	Maropitant
QA05	SAPITEEDE JA MAKSA RAVI	BILE AND LIVER THERAPY
QA05A	SAPITEEDE RAVI	BILE THERAPY
QA05AX	Teised sapiteede raviks kasutatavad ained	Other drugs for bile therapy
QA05AX80	2-metüül-2-fenoksüpropioonhape	2-methyl-2-phenoxypropanic acid
QA05AX90	menbutoon	Menbutone
QA06	KÕHUKINNISUSE VASTASED AINED	DRUGS FOR CONSTIPATION
QA06A	KÕHUKINNISUSE VASTASED AINED	DRUGS FOR CONSTIPATION
QA06AA	Soolesisaldist pehmendavad ained	Softeners, emollients
QA06AA80	parafiin, vedel+vaseliin, valge	Paraffin, liquid+Paraffin, white soft
